url_length,has_ip,has_at_symbol,is_phishing
21,0,0,0
34,0,0,0
28,0,0,0
24,0,0,0
28,0,0,0
28,0,0,0
30,0,0,0
29,0,0,0
17,0,0,0
20,0,0,0
32,0,0,0
20,0,0,0
31,0,0,0
27,0,0,0
34,0,0,0
35,0,0,0
10,0,0,0
22,0,0,0
34,0,0,0
10,0,0,0
12,0,0,0
32,0,0,0
31,0,0,0
23,0,0,0
19,0,0,0
27,0,0,0
26,0,0,0
29,0,0,0
32,0,0,0
30,0,0,0
20,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
35,0,0,0
18,0,0,0
23,0,0,0
33,0,0,0
11,0,0,0
23,0,0,0
14,0,0,0
19,0,0,0
34,0,0,0
26,0,0,0
19,0,0,0
15,0,0,0
18,0,0,0
10,0,0,0
27,0,0,0
27,0,0,0
34,0,0,0
26,0,0,0
24,0,0,0
23,0,0,0
18,0,0,0
21,0,0,0
25,0,0,0
32,0,0,0
29,0,0,0
13,0,0,0
10,0,0,0
19,0,0,0
10,0,0,0
16,0,0,0
31,0,0,0
11,0,0,0
14,0,0,0
21,0,0,0
34,0,0,0
32,0,0,0
21,0,0,0
26,0,0,0
15,0,0,0
31,0,0,0
28,0,0,0
23,0,0,0
19,0,0,0
24,0,0,0
26,0,0,0
33,0,0,0
16,0,0,0
22,0,0,0
17,0,0,0
24,0,0,0
16,0,0,0
15,0,0,0
28,0,0,0
35,0,0,0
28,0,0,0
20,0,0,0
12,0,0,0
23,0,0,0
20,0,0,0
20,0,0,0
21,0,0,0
19,0,0,0
34,0,0,0
11,0,0,0
28,0,0,0
18,0,0,0
31,0,0,0
35,0,0,0
18,0,0,0
28,0,0,0
13,0,0,0
21,0,0,0
27,0,0,0
15,0,0,0
31,0,0,0
21,0,0,0
28,0,0,0
33,0,0,0
10,0,0,0
18,0,0,0
30,0,0,0
14,0,0,0
32,0,0,0
31,0,0,0
14,0,0,0
26,0,0,0
28,0,0,0
33,0,0,0
29,0,0,0
33,0,0,0
26,0,0,0
18,0,0,0
21,0,0,0
28,0,0,0
30,0,0,0
29,0,0,0
28,0,0,0
19,0,0,0
19,0,0,0
21,0,0,0
27,0,0,0
10,0,0,0
16,0,0,0
22,0,0,0
35,0,0,0
28,0,0,0
19,0,0,0
15,0,0,0
18,0,0,0
12,0,0,0
26,0,0,0
19,0,0,0
26,0,0,0
33,0,0,0
35,0,0,0
21,0,0,0
12,0,0,0
14,0,0,0
23,0,0,0
30,0,0,0
12,0,0,0
27,0,0,0
33,0,0,0
28,0,0,0
28,0,0,0
18,0,0,0
25,0,0,0
30,0,0,0
13,0,0,0
25,0,0,0
21,0,0,0
14,0,0,0
10,0,0,0
17,0,0,0
32,0,0,0
25,0,0,0
29,0,0,0
32,0,0,0
29,0,0,0
18,0,0,0
23,0,0,0
31,0,0,0
27,0,0,0
24,0,0,0
27,0,0,0
26,0,0,0
11,0,0,0
19,0,0,0
32,0,0,0
12,0,0,0
29,0,0,0
20,0,0,0
27,0,0,0
29,0,0,0
17,0,0,0
28,0,0,0
32,0,0,0
35,0,0,0
23,0,0,0
20,0,0,0
33,0,0,0
22,0,0,0
10,0,0,0
33,0,0,0
28,0,0,0
16,0,0,0
23,0,0,0
23,0,0,0
10,0,0,0
13,0,0,0
30,0,0,0
24,0,0,0
27,0,0,0
11,0,0,0
14,0,0,0
33,0,0,0
10,0,0,0
25,0,0,0
26,0,0,0
23,0,0,0
23,0,0,0
12,0,0,0
24,0,0,0
18,0,0,0
19,0,0,0
22,0,0,0
14,0,0,0
27,0,0,0
19,0,0,0
35,0,0,0
29,0,0,0
17,0,0,0
21,0,0,0
31,0,0,0
20,0,0,0
13,0,0,0
18,0,0,0
33,0,0,0
11,0,0,0
26,0,0,0
32,0,0,0
29,0,0,0
28,0,0,0
20,0,0,0
17,0,0,0
27,0,0,0
35,0,0,0
14,0,0,0
18,0,0,0
24,0,0,0
11,0,0,0
21,0,0,0
34,0,0,0
17,0,0,0
27,0,0,0
24,0,0,0
19,0,0,0
27,0,0,0
21,0,0,0
22,0,0,0
26,0,0,0
10,0,0,0
15,0,0,0
33,0,0,0
22,0,0,0
25,0,0,0
16,0,0,0
27,0,0,0
34,0,0,0
12,0,0,0
14,0,0,0
11,0,0,0
17,0,0,0
28,0,0,0
35,0,0,0
30,0,0,0
34,0,0,0
17,0,0,0
19,0,0,0
33,0,0,0
30,0,0,0
23,0,0,0
11,0,0,0
15,0,0,0
35,0,0,0
23,0,0,0
33,0,0,0
20,0,0,0
31,0,0,0
26,0,0,0
11,0,0,0
34,0,0,0
35,0,0,0
21,0,0,0
10,0,0,0
33,0,0,0
12,0,0,0
16,0,0,0
11,0,0,0
19,0,0,0
35,0,0,0
28,0,0,0
30,0,0,0
31,0,0,0
25,0,0,0
22,0,0,0
21,0,0,0
18,0,0,0
17,0,0,0
31,0,0,0
23,0,0,0
22,0,0,0
24,0,0,0
23,0,0,0
24,0,0,0
13,0,0,0
14,0,0,0
12,0,0,0
14,0,0,0
17,0,0,0
31,0,0,0
16,0,0,0
10,0,0,0
10,0,0,0
25,0,0,0
22,0,0,0
32,0,0,0
31,0,0,0
31,0,0,0
12,0,0,0
25,0,0,0
16,0,0,0
27,0,0,0
12,0,0,0
10,0,0,0
31,0,0,0
17,0,0,0
25,0,0,0
26,0,0,0
24,0,0,0
19,0,0,0
20,0,0,0
35,0,0,0
27,0,0,0
11,0,0,0
31,0,0,0
19,0,0,0
11,0,0,0
25,0,0,0
13,0,0,0
21,0,0,0
20,0,0,0
26,0,0,0
30,0,0,0
17,0,0,0
11,0,0,0
33,0,0,0
24,0,0,0
12,0,0,0
27,0,0,0
19,0,0,0
23,0,0,0
28,0,0,0
25,0,0,0
11,0,0,0
23,0,0,0
17,0,0,0
35,0,0,0
20,0,0,0
11,0,0,0
27,0,0,0
11,0,0,0
25,0,0,0
34,0,0,0
14,0,0,0
33,0,0,0
35,0,0,0
15,0,0,0
25,0,0,0
26,0,0,0
33,0,0,0
11,0,0,0
32,0,0,0
34,0,0,0
19,0,0,0
22,0,0,0
33,0,0,0
12,0,0,0
16,0,0,0
27,0,0,0
15,0,0,0
16,0,0,0
12,0,0,0
18,0,0,0
13,0,0,0
34,0,0,0
16,0,0,0
12,0,0,0
13,0,0,0
30,0,0,0
32,0,0,0
29,0,0,0
30,0,0,0
21,0,0,0
24,0,0,0
33,0,0,0
10,0,0,0
21,0,0,0
25,0,0,0
34,0,0,0
14,0,0,0
27,0,0,0
14,0,0,0
15,0,0,0
22,0,0,0
17,0,0,0
28,0,0,0
33,0,0,0
15,0,0,0
10,0,0,0
22,0,0,0
11,0,0,0
17,0,0,0
11,0,0,0
28,0,0,0
33,0,0,0
13,0,0,0
29,0,0,0
21,0,0,0
22,0,0,0
11,0,0,0
20,0,0,0
15,0,0,0
12,0,0,0
27,0,0,0
22,0,0,0
11,0,0,0
34,0,0,0
29,0,0,0
33,0,0,0
34,0,0,0
11,0,0,0
29,0,0,0
25,0,0,0
31,0,0,0
11,0,0,0
31,0,0,0
23,0,0,0
31,0,0,0
23,0,0,0
12,0,0,0
32,0,0,0
32,0,0,0
20,0,0,0
10,0,0,0
26,0,0,0
25,0,0,0
31,0,0,0
19,0,0,0
21,0,0,0
10,0,0,0
25,0,0,0
28,0,0,0
14,0,0,0
28,0,0,0
11,0,0,0
17,0,0,0
19,0,0,0
22,0,0,0
12,0,0,0
11,0,0,0
28,0,0,0
13,0,0,0
24,0,0,0
28,0,0,0
15,0,0,0
13,0,0,0
10,0,0,0
33,0,0,0
33,0,0,0
33,0,0,0
16,0,0,0
20,0,0,0
24,0,0,0
28,0,0,0
14,0,0,0
34,0,0,0
34,0,0,0
26,0,0,0
18,0,0,0
19,0,0,0
34,0,0,0
32,0,0,0
33,0,0,0
20,0,0,0
32,0,0,0
23,0,0,0
15,0,0,0
12,0,0,0
10,0,0,0
17,0,0,0
21,0,0,0
26,0,0,0
15,0,0,0
35,0,0,0
100,1,0,1
98,0,1,1
70,0,1,1
96,0,1,1
107,0,1,1
76,1,0,1
78,1,1,1
65,0,1,1
69,0,1,1
92,1,0,1
90,0,1,1
100,0,1,1
59,0,1,1
88,1,1,1
75,1,1,1
68,0,1,1
69,1,1,1
106,1,0,1
89,0,1,1
95,0,1,1
93,0,1,1
110,1,0,1
93,1,1,1
87,0,1,1
98,1,0,1
59,0,1,1
104,1,1,1
64,1,0,1
95,1,1,1
109,0,1,1
105,1,1,1
68,0,1,1
68,0,1,1
90,0,1,1
65,1,0,1
68,0,1,1
104,0,1,1
66,1,0,1
108,0,1,1
81,1,0,1
77,1,0,1
63,1,0,1
64,0,1,1
79,1,1,1
65,1,1,1
89,0,1,1
89,0,1,1
84,1,0,1
101,1,0,1
62,1,1,1
60,0,1,1
100,1,0,1
91,1,1,1
56,1,0,1
95,0,1,1
72,0,1,1
99,0,1,1
69,0,1,1
65,1,0,1
76,0,1,1
96,1,0,1
90,1,0,1
107,1,1,1
61,1,1,1
60,1,1,1
78,1,0,1
59,0,1,1
102,0,1,1
73,1,1,1
79,1,1,1
98,0,1,1
63,1,0,1
68,1,0,1
64,1,0,1
64,1,1,1
77,1,1,1
90,1,1,1
62,1,1,1
76,0,1,1
62,0,1,1
61,0,1,1
